"","X1","X2","X3","X4","X5","X6","X7","X8","Y1"
"153",0.86,588,294,147,7,2,0.1,3,25.41
"154",0.86,588,294,147,7,3,0.1,3,26.47
"155",0.86,588,294,147,7,4,0.1,3,26.89
"156",0.86,588,294,147,7,5,0.1,3,26.46
"165",0.76,661.5,416.5,122.5,7,2,0.1,3,32.52
"166",0.76,661.5,416.5,122.5,7,3,0.1,3,33.28
"167",0.76,661.5,416.5,122.5,7,4,0.1,3,32.33
"168",0.76,661.5,416.5,122.5,7,5,0.1,3,33.24
"173",0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.77
"174",0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.68
"175",0.71,710.5,269.5,220.5,3.5,4,0.1,3,10.68
"176",0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7
"177",0.69,735,294,220.5,3.5,2,0.1,3,11.22
"178",0.69,735,294,220.5,3.5,3,0.1,3,11.16
"179",0.69,735,294,220.5,3.5,4,0.1,3,11.1
"180",0.69,735,294,220.5,3.5,5,0.1,3,11.14
"181",0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59
"182",0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.6
"183",0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.53
"184",0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.61
"189",0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.68
"190",0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63
"191",0.62,808.5,367.5,220.5,3.5,4,0.1,3,12.71
"192",0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73
"193",0.98,514.5,294,110.25,7,2,0.1,4,24.38
"194",0.98,514.5,294,110.25,7,3,0.1,4,24.23
"195",0.98,514.5,294,110.25,7,4,0.1,4,24.04
"196",0.98,514.5,294,110.25,7,5,0.1,4,24.32
"197",0.9,563.5,318.5,122.5,7,2,0.1,4,29.06
"198",0.9,563.5,318.5,122.5,7,3,0.1,4,28.05
"199",0.9,563.5,318.5,122.5,7,4,0.1,4,28.86
"201",0.86,588,294,147,7,2,0.1,4,26.44
"202",0.86,588,294,147,7,3,0.1,4,25.37
"203",0.86,588,294,147,7,4,0.1,4,26.33
"204",0.86,588,294,147,7,5,0.1,4,27.03
"213",0.76,661.5,416.5,122.5,7,2,0.1,4,33.08
"215",0.76,661.5,416.5,122.5,7,4,0.1,4,33.09
"217",0.74,686,245,220.5,3.5,2,0.1,4,10.08
"218",0.74,686,245,220.5,3.5,3,0.1,4,10.15
"219",0.74,686,245,220.5,3.5,4,0.1,4,10.07
"220",0.74,686,245,220.5,3.5,5,0.1,4,10.14
"221",0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66
"222",0.71,710.5,269.5,220.5,3.5,3,0.1,4,10.68
"223",0.71,710.5,269.5,220.5,3.5,4,0.1,4,10.53
"224",0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.72
"225",0.69,735,294,220.5,3.5,2,0.1,4,11.18
"226",0.69,735,294,220.5,3.5,3,0.1,4,11.22
"227",0.69,735,294,220.5,3.5,4,0.1,4,11.07
"228",0.69,735,294,220.5,3.5,5,0.1,4,11.2
"229",0.66,759.5,318.5,220.5,3.5,2,0.1,4,11.44
"230",0.66,759.5,318.5,220.5,3.5,3,0.1,4,11.42
"231",0.66,759.5,318.5,220.5,3.5,4,0.1,4,11.33
"232",0.66,759.5,318.5,220.5,3.5,5,0.1,4,11.43
"237",0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.85
"238",0.62,808.5,367.5,220.5,3.5,3,0.1,4,13.04
"239",0.62,808.5,367.5,220.5,3.5,4,0.1,4,13
"240",0.62,808.5,367.5,220.5,3.5,5,0.1,4,13
"241",0.98,514.5,294,110.25,7,2,0.1,5,24.35
"242",0.98,514.5,294,110.25,7,3,0.1,5,24.33
"243",0.98,514.5,294,110.25,7,4,0.1,5,24.03
"244",0.98,514.5,294,110.25,7,5,0.1,5,24.26
"245",0.9,563.5,318.5,122.5,7,2,0.1,5,29.83
"246",0.9,563.5,318.5,122.5,7,3,0.1,5,29.08
"247",0.9,563.5,318.5,122.5,7,4,0.1,5,28.03
"248",0.9,563.5,318.5,122.5,7,5,0.1,5,29.02
"249",0.86,588,294,147,7,2,0.1,5,27.03
"250",0.86,588,294,147,7,3,0.1,5,26.45
"251",0.86,588,294,147,7,4,0.1,5,25.36
"252",0.86,588,294,147,7,5,0.1,5,26.45
"262",0.76,661.5,416.5,122.5,7,3,0.1,5,33.21
"264",0.76,661.5,416.5,122.5,7,5,0.1,5,33.27
"265",0.74,686,245,220.5,3.5,2,0.1,5,10.47
"266",0.74,686,245,220.5,3.5,3,0.1,5,10.37
"267",0.74,686,245,220.5,3.5,4,0.1,5,10.34
"268",0.74,686,245,220.5,3.5,5,0.1,5,10.39
"269",0.71,710.5,269.5,220.5,3.5,2,0.1,5,10.78
"270",0.71,710.5,269.5,220.5,3.5,3,0.1,5,10.7
"271",0.71,710.5,269.5,220.5,3.5,4,0.1,5,10.67
"273",0.69,735,294,220.5,3.5,2,0.1,5,11.21
"274",0.69,735,294,220.5,3.5,3,0.1,5,11.14
"275",0.69,735,294,220.5,3.5,4,0.1,5,11.11
"276",0.69,735,294,220.5,3.5,5,0.1,5,11.16
"277",0.66,759.5,318.5,220.5,3.5,2,0.1,5,11.38
"278",0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.34
"279",0.66,759.5,318.5,220.5,3.5,4,0.1,5,11.22
"280",0.66,759.5,318.5,220.5,3.5,5,0.1,5,11.34
"285",0.62,808.5,367.5,220.5,3.5,2,0.1,5,12.59
"286",0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74
"287",0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8
"288",0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.62
"289",0.98,514.5,294,110.25,7,2,0.25,1,28.15
"290",0.98,514.5,294,110.25,7,3,0.25,1,28.15
"291",0.98,514.5,294,110.25,7,4,0.25,1,28.37
"292",0.98,514.5,294,110.25,7,5,0.25,1,28.41
"297",0.86,588,294,147,7,2,0.25,1,29.54
"298",0.86,588,294,147,7,3,0.25,1,30.05
"299",0.86,588,294,147,7,4,0.25,1,29.6
"300",0.86,588,294,147,7,5,0.25,1,28.66
"309",0.76,661.5,416.5,122.5,7,2,0.25,1,36.96
"310",0.76,661.5,416.5,122.5,7,3,0.25,1,36.13
"311",0.76,661.5,416.5,122.5,7,4,0.25,1,36.91
"312",0.76,661.5,416.5,122.5,7,5,0.25,1,36.43
"313",0.74,686,245,220.5,3.5,2,0.25,1,12.43
"314",0.74,686,245,220.5,3.5,3,0.25,1,12.5
"315",0.74,686,245,220.5,3.5,4,0.25,1,12.41
"316",0.74,686,245,220.5,3.5,5,0.25,1,12.45
"317",0.71,710.5,269.5,220.5,3.5,2,0.25,1,12.57
"318",0.71,710.5,269.5,220.5,3.5,3,0.25,1,12.65
"319",0.71,710.5,269.5,220.5,3.5,4,0.25,1,12.57
"320",0.71,710.5,269.5,220.5,3.5,5,0.25,1,12.63
"321",0.69,735,294,220.5,3.5,2,0.25,1,12.78
"322",0.69,735,294,220.5,3.5,3,0.25,1,12.93
"323",0.69,735,294,220.5,3.5,4,0.25,1,12.73
"324",0.69,735,294,220.5,3.5,5,0.25,1,12.72
"325",0.66,759.5,318.5,220.5,3.5,2,0.25,1,13.17
"326",0.66,759.5,318.5,220.5,3.5,3,0.25,1,13.18
"327",0.66,759.5,318.5,220.5,3.5,4,0.25,1,13.17
"328",0.66,759.5,318.5,220.5,3.5,5,0.25,1,13.18
"333",0.62,808.5,367.5,220.5,3.5,2,0.25,1,15.09
"334",0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.12
"335",0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.08
"336",0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.16
"337",0.98,514.5,294,110.25,7,2,0.25,2,28.67
"338",0.98,514.5,294,110.25,7,3,0.25,2,28.57
"339",0.98,514.5,294,110.25,7,4,0.25,2,28.18
"340",0.98,514.5,294,110.25,7,5,0.25,2,28.6
"344",0.9,563.5,318.5,122.5,7,5,0.25,2,31.66
"345",0.86,588,294,147,7,2,0.25,2,29.34
"346",0.86,588,294,147,7,3,0.25,2,29.87
"347",0.86,588,294,147,7,4,0.25,2,29.27
"348",0.86,588,294,147,7,5,0.25,2,28.4
"357",0.76,661.5,416.5,122.5,7,2,0.25,2,36.95
"358",0.76,661.5,416.5,122.5,7,3,0.25,2,36.28
"359",0.76,661.5,416.5,122.5,7,4,0.25,2,36.86
"360",0.76,661.5,416.5,122.5,7,5,0.25,2,36.45
"361",0.74,686,245,220.5,3.5,2,0.25,2,12.35
"362",0.74,686,245,220.5,3.5,3,0.25,2,12.45
"363",0.74,686,245,220.5,3.5,4,0.25,2,12.16
"364",0.74,686,245,220.5,3.5,5,0.25,2,12.3
"365",0.71,710.5,269.5,220.5,3.5,2,0.25,2,12.33
"366",0.71,710.5,269.5,220.5,3.5,3,0.25,2,12.29
"367",0.71,710.5,269.5,220.5,3.5,4,0.25,2,12.2
"368",0.71,710.5,269.5,220.5,3.5,5,0.25,2,12.49
"369",0.69,735,294,220.5,3.5,2,0.25,2,12.85
"370",0.69,735,294,220.5,3.5,3,0.25,2,12.87
"371",0.69,735,294,220.5,3.5,4,0.25,2,12.73
"372",0.69,735,294,220.5,3.5,5,0.25,2,12.95
"373",0.66,759.5,318.5,220.5,3.5,2,0.25,2,13.05
"374",0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.93
"375",0.66,759.5,318.5,220.5,3.5,4,0.25,2,12.77
"376",0.66,759.5,318.5,220.5,3.5,5,0.25,2,13
"381",0.62,808.5,367.5,220.5,3.5,2,0.25,2,14.34
"382",0.62,808.5,367.5,220.5,3.5,3,0.25,2,14.66
"383",0.62,808.5,367.5,220.5,3.5,4,0.25,2,14.6
"384",0.62,808.5,367.5,220.5,3.5,5,0.25,2,14.6
"385",0.98,514.5,294,110.25,7,2,0.25,3,28.67
"386",0.98,514.5,294,110.25,7,3,0.25,3,28.56
"387",0.98,514.5,294,110.25,7,4,0.25,3,28.17
"388",0.98,514.5,294,110.25,7,5,0.25,3,28.63
"389",0.9,563.5,318.5,122.5,7,2,0.25,3,31.63
"390",0.9,563.5,318.5,122.5,7,3,0.25,3,32.4
"392",0.9,563.5,318.5,122.5,7,5,0.25,3,32.29
"393",0.86,588,294,147,7,2,0.25,3,28.4
"394",0.86,588,294,147,7,3,0.25,3,29.4
"395",0.86,588,294,147,7,4,0.25,3,29.43
"396",0.86,588,294,147,7,5,0.25,3,29.07
"405",0.76,661.5,416.5,122.5,7,2,0.25,3,35.99
"406",0.76,661.5,416.5,122.5,7,3,0.25,3,36.59
"407",0.76,661.5,416.5,122.5,7,4,0.25,3,35.64
"408",0.76,661.5,416.5,122.5,7,5,0.25,3,36.52
"409",0.74,686,245,220.5,3.5,2,0.25,3,11.8
"410",0.74,686,245,220.5,3.5,3,0.25,3,12.03
"411",0.74,686,245,220.5,3.5,4,0.25,3,11.98
"412",0.74,686,245,220.5,3.5,5,0.25,3,11.69
"413",0.71,710.5,269.5,220.5,3.5,2,0.25,3,12.41
"414",0.71,710.5,269.5,220.5,3.5,3,0.25,3,12.28
"415",0.71,710.5,269.5,220.5,3.5,4,0.25,3,12.1
"416",0.71,710.5,269.5,220.5,3.5,5,0.25,3,12.19
"417",0.69,735,294,220.5,3.5,2,0.25,3,12.34
"418",0.69,735,294,220.5,3.5,3,0.25,3,12.46
"419",0.69,735,294,220.5,3.5,4,0.25,3,12.31
"420",0.69,735,294,220.5,3.5,5,0.25,3,12.12
"421",0.66,759.5,318.5,220.5,3.5,2,0.25,3,12.97
"422",0.66,759.5,318.5,220.5,3.5,3,0.25,3,13.01
"423",0.66,759.5,318.5,220.5,3.5,4,0.25,3,12.74
"424",0.66,759.5,318.5,220.5,3.5,5,0.25,3,12.84
"425",0.64,784,343,220.5,3.5,2,0.25,3,16.83
"427",0.64,784,343,220.5,3.5,4,0.25,3,16.66
"428",0.64,784,343,220.5,3.5,5,0.25,3,16.86
"430",0.62,808.5,367.5,220.5,3.5,3,0.25,3,14.34
"431",0.62,808.5,367.5,220.5,3.5,4,0.25,3,13.95
"432",0.62,808.5,367.5,220.5,3.5,5,0.25,3,13.99
"433",0.98,514.5,294,110.25,7,2,0.25,4,28.7
"434",0.98,514.5,294,110.25,7,3,0.25,4,28.55
"435",0.98,514.5,294,110.25,7,4,0.25,4,28.15
"436",0.98,514.5,294,110.25,7,5,0.25,4,28.62
"438",0.9,563.5,318.5,122.5,7,3,0.25,4,31.69
"439",0.9,563.5,318.5,122.5,7,4,0.25,4,32.07
"441",0.86,588,294,147,7,2,0.25,4,29.47
"442",0.86,588,294,147,7,3,0.25,4,28.42
"443",0.86,588,294,147,7,4,0.25,4,29.08
"444",0.86,588,294,147,7,5,0.25,4,29.88
"453",0.76,661.5,416.5,122.5,7,2,0.25,4,36.95
"454",0.76,661.5,416.5,122.5,7,3,0.25,4,36.45
"455",0.76,661.5,416.5,122.5,7,4,0.25,4,36.81
"456",0.76,661.5,416.5,122.5,7,5,0.25,4,36.26
"457",0.74,686,245,220.5,3.5,2,0.25,4,12.32
"458",0.74,686,245,220.5,3.5,3,0.25,4,12.3
"459",0.74,686,245,220.5,3.5,4,0.25,4,12.18
"460",0.74,686,245,220.5,3.5,5,0.25,4,12.43
"461",0.71,710.5,269.5,220.5,3.5,2,0.25,4,12.36
"462",0.71,710.5,269.5,220.5,3.5,3,0.25,4,12.49
"463",0.71,710.5,269.5,220.5,3.5,4,0.25,4,12.17
"464",0.71,710.5,269.5,220.5,3.5,5,0.25,4,12.28
"465",0.69,735,294,220.5,3.5,2,0.25,4,12.91
"466",0.69,735,294,220.5,3.5,3,0.25,4,12.95
"467",0.69,735,294,220.5,3.5,4,0.25,4,12.67
"468",0.69,735,294,220.5,3.5,5,0.25,4,12.86
"469",0.66,759.5,318.5,220.5,3.5,2,0.25,4,12.95
"470",0.66,759.5,318.5,220.5,3.5,3,0.25,4,13
"471",0.66,759.5,318.5,220.5,3.5,4,0.25,4,12.86
"472",0.66,759.5,318.5,220.5,3.5,5,0.25,4,12.92
"473",0.64,784,343,220.5,3.5,2,0.25,4,16.99
"474",0.64,784,343,220.5,3.5,3,0.25,4,16.69
"475",0.64,784,343,220.5,3.5,4,0.25,4,16.56
"476",0.64,784,343,220.5,3.5,5,0.25,4,16.62
"477",0.62,808.5,367.5,220.5,3.5,2,0.25,4,14.33
"478",0.62,808.5,367.5,220.5,3.5,3,0.25,4,14.61
"479",0.62,808.5,367.5,220.5,3.5,4,0.25,4,14.61
"480",0.62,808.5,367.5,220.5,3.5,5,0.25,4,14.65
"481",0.98,514.5,294,110.25,7,2,0.25,5,28.69
"482",0.98,514.5,294,110.25,7,3,0.25,5,28.58
"483",0.98,514.5,294,110.25,7,4,0.25,5,28.15
"484",0.98,514.5,294,110.25,7,5,0.25,5,28.61
"486",0.9,563.5,318.5,122.5,7,3,0.25,5,32.31
"487",0.9,563.5,318.5,122.5,7,4,0.25,5,31.53
"488",0.9,563.5,318.5,122.5,7,5,0.25,5,32.46
"489",0.86,588,294,147,7,2,0.25,5,29.71
"490",0.86,588,294,147,7,3,0.25,5,29.09
"491",0.86,588,294,147,7,4,0.25,5,28.31
"492",0.86,588,294,147,7,5,0.25,5,29.39
"502",0.76,661.5,416.5,122.5,7,3,0.25,5,36.64
"503",0.76,661.5,416.5,122.5,7,4,0.25,5,36.06
"504",0.76,661.5,416.5,122.5,7,5,0.25,5,36.7
"505",0.74,686,245,220.5,3.5,2,0.25,5,12.12
"506",0.74,686,245,220.5,3.5,3,0.25,5,11.67
"507",0.74,686,245,220.5,3.5,4,0.25,5,11.64
"508",0.74,686,245,220.5,3.5,5,0.25,5,12.02
"509",0.71,710.5,269.5,220.5,3.5,2,0.25,5,12.27
"510",0.71,710.5,269.5,220.5,3.5,3,0.25,5,12.19
"511",0.71,710.5,269.5,220.5,3.5,4,0.25,5,12.25
"512",0.71,710.5,269.5,220.5,3.5,5,0.25,5,12.27
"513",0.69,735,294,220.5,3.5,2,0.25,5,12.47
"514",0.69,735,294,220.5,3.5,3,0.25,5,12.12
"515",0.69,735,294,220.5,3.5,4,0.25,5,12.18
"516",0.69,735,294,220.5,3.5,5,0.25,5,12.47
"520",0.66,759.5,318.5,220.5,3.5,5,0.25,5,13.02
"521",0.64,784,343,220.5,3.5,2,0.25,5,16.73
"522",0.64,784,343,220.5,3.5,3,0.25,5,16.86
"523",0.64,784,343,220.5,3.5,4,0.25,5,16.76
"524",0.64,784,343,220.5,3.5,5,0.25,5,16.92
"529",0.98,514.5,294,110.25,7,2,0.4,1,32.26
"530",0.98,514.5,294,110.25,7,3,0.4,1,32.26
"531",0.98,514.5,294,110.25,7,4,0.4,1,32.49
"532",0.98,514.5,294,110.25,7,5,0.4,1,32.53
"537",0.86,588,294,147,7,2,0.4,1,31.89
"538",0.86,588,294,147,7,3,0.4,1,32.39
"539",0.86,588,294,147,7,4,0.4,1,32.09
"540",0.86,588,294,147,7,5,0.4,1,31.29
"549",0.76,661.5,416.5,122.5,7,2,0.4,1,40.78
"550",0.76,661.5,416.5,122.5,7,3,0.4,1,39.97
"551",0.76,661.5,416.5,122.5,7,4,0.4,1,40.71
"552",0.76,661.5,416.5,122.5,7,5,0.4,1,40.43
"553",0.74,686,245,220.5,3.5,2,0.4,1,14.52
"554",0.74,686,245,220.5,3.5,3,0.4,1,14.61
"555",0.74,686,245,220.5,3.5,4,0.4,1,14.5
"556",0.74,686,245,220.5,3.5,5,0.4,1,14.55
"557",0.71,710.5,269.5,220.5,3.5,2,0.4,1,14.51
"558",0.71,710.5,269.5,220.5,3.5,3,0.4,1,14.6
"559",0.71,710.5,269.5,220.5,3.5,4,0.4,1,14.5
"560",0.71,710.5,269.5,220.5,3.5,5,0.4,1,14.58
"561",0.69,735,294,220.5,3.5,2,0.4,1,14.51
"562",0.69,735,294,220.5,3.5,3,0.4,1,14.7
"563",0.69,735,294,220.5,3.5,4,0.4,1,14.42
"564",0.69,735,294,220.5,3.5,5,0.4,1,14.42
"566",0.66,759.5,318.5,220.5,3.5,3,0.4,1,15.23
"567",0.66,759.5,318.5,220.5,3.5,4,0.4,1,15.23
"568",0.66,759.5,318.5,220.5,3.5,5,0.4,1,15.23
"570",0.64,784,343,220.5,3.5,3,0.4,1,19.36
"572",0.64,784,343,220.5,3.5,5,0.4,1,19.42
"574",0.62,808.5,367.5,220.5,3.5,3,0.4,1,17.17
"575",0.62,808.5,367.5,220.5,3.5,4,0.4,1,17.14
"576",0.62,808.5,367.5,220.5,3.5,5,0.4,1,17.14
"577",0.98,514.5,294,110.25,7,2,0.4,2,32.82
"578",0.98,514.5,294,110.25,7,3,0.4,2,32.71
"579",0.98,514.5,294,110.25,7,4,0.4,2,32.24
"580",0.98,514.5,294,110.25,7,5,0.4,2,32.72
"585",0.86,588,294,147,7,2,0.4,2,32.48
"586",0.86,588,294,147,7,3,0.4,2,32.74
"587",0.86,588,294,147,7,4,0.4,2,32.13
"588",0.86,588,294,147,7,5,0.4,2,31.64
"597",0.76,661.5,416.5,122.5,7,2,0.4,2,40.78
"598",0.76,661.5,416.5,122.5,7,3,0.4,2,40.15
"599",0.76,661.5,416.5,122.5,7,4,0.4,2,40.57
"600",0.76,661.5,416.5,122.5,7,5,0.4,2,40.42
"601",0.74,686,245,220.5,3.5,2,0.4,2,14.54
"602",0.74,686,245,220.5,3.5,3,0.4,2,14.45
"603",0.74,686,245,220.5,3.5,4,0.4,2,14.18
"604",0.74,686,245,220.5,3.5,5,0.4,2,14.5
"605",0.71,710.5,269.5,220.5,3.5,2,0.4,2,14.7
"606",0.71,710.5,269.5,220.5,3.5,3,0.4,2,14.66
"607",0.71,710.5,269.5,220.5,3.5,4,0.4,2,14.4
"608",0.71,710.5,269.5,220.5,3.5,5,0.4,2,14.71
"609",0.69,735,294,220.5,3.5,2,0.4,2,14.75
"610",0.69,735,294,220.5,3.5,3,0.4,2,14.71
"611",0.69,735,294,220.5,3.5,4,0.4,2,14.33
"612",0.69,735,294,220.5,3.5,5,0.4,2,14.62
"617",0.64,784,343,220.5,3.5,2,0.4,2,19.2
"618",0.64,784,343,220.5,3.5,3,0.4,2,18.88
"619",0.64,784,343,220.5,3.5,4,0.4,2,18.9
"620",0.64,784,343,220.5,3.5,5,0.4,2,19.12
"621",0.62,808.5,367.5,220.5,3.5,2,0.4,2,16.76
"622",0.62,808.5,367.5,220.5,3.5,3,0.4,2,17.23
"623",0.62,808.5,367.5,220.5,3.5,4,0.4,2,17.26
"624",0.62,808.5,367.5,220.5,3.5,5,0.4,2,17.15
"625",0.98,514.5,294,110.25,7,2,0.4,3,32.82
"626",0.98,514.5,294,110.25,7,3,0.4,3,32.69
"627",0.98,514.5,294,110.25,7,4,0.4,3,32.23
"628",0.98,514.5,294,110.25,7,5,0.4,3,32.75
"629",0.9,563.5,318.5,122.5,7,2,0.4,3,34.24
"630",0.9,563.5,318.5,122.5,7,3,0.4,3,34.95
"631",0.9,563.5,318.5,122.5,7,4,0.4,3,35.05
"632",0.9,563.5,318.5,122.5,7,5,0.4,3,34.29
"633",0.86,588,294,147,7,2,0.4,3,31.28
"634",0.86,588,294,147,7,3,0.4,3,32.12
"635",0.86,588,294,147,7,4,0.4,3,32.05
"636",0.86,588,294,147,7,5,0.4,3,31.84
"645",0.76,661.5,416.5,122.5,7,2,0.4,3,39.32
"646",0.76,661.5,416.5,122.5,7,3,0.4,3,39.84
"647",0.76,661.5,416.5,122.5,7,4,0.4,3,38.89
"648",0.76,661.5,416.5,122.5,7,5,0.4,3,39.68
